CougarInterval,CougarID,ClusterID_unique,SearchTime,ST_sqr,PreyGroup,PreyAgeClass,Site,BearSign,Comb_WeightClass,PreyCategory,CanopyPercent,DemographicStatus,BearDisplacement,CoverType,Dist2road,DensityofRoads_5010,BearHarvestDensity,MultipleKills,Season,AgeClass,ElkUse_3000,DeerUse_3000,THI_990
BC02_1,BC02,BC02-035,70,8.366600265,Deer,Neonate,Books,N,Small,Deer,14,None,No,coniferous,2.647246937,-2.596420425,0.038493141,No,Summer,PrimeAdult,0.471850631,0.401907278,19658.27344
BC02_1,BC02,BC02-036,50,7.071067812,Deer,Neonate,Books,N,Small,Deer,14,None,No,coniferous,-0.486142619,0.000121503,0.038493141,No,Summer,PrimeAdult,0.499320082,0.386920014,10376.65332
BC02_1,BC02,BC02-037-b,110,10.48808848,Elk,Neonate,Books,Y,Medium,Elk,26,None,No,coniferous,-0.534955991,-0.186333675,0.038493141,Yes,Summer,PrimeAdult,0.461849605,0.40055158,5178.171875
BC02_1,BC02,BC02-040,98,9.899494937,Deer,Neonate,Books,N,Small,Deer,16,None,No,scrub,0.397079635,0.441900641,0.038493141,No,Summer,PrimeAdult,0.395094177,0.348223081,26654.44141
BC02_1,BC02,BC02-041,30,5.477225575,Deer,Neonate,Books,N,Small,Deer,23,None,No,coniferous,-0.579720172,1.063518656,0.038493141,No,Summer,PrimeAdult,0.440903034,0.360241821,11113.99219
BC02_1,BC02,BC02-042,34.01666667,5.832380875,Deer,Neonate,Books,N,Small,Deer,40,None,No,coniferous,-1.445770106,0.703726771,0.038493141,No,Summer,PrimeAdult,0.389678164,0.375568799,22574.86719
BC02_1,BC02,BC02-043,124,11.13552873,OtherUngulate,Adult,Books,N,Large,OtherUngulate,27,None,No,coniferous,-0.048466698,-0.866343849,0.038493141,No,Summer,PrimeAdult,0.38139267,0.340128371,7298.28125
BC02_1,BC02,BC02-044,40,6.32455532,Deer,Adult,Books,Y,Large,Deer,28,None,Likely.Yes,coniferous,0.111805093,0.456496343,0.038493141,No,Summer,PrimeAdult,0.441572322,0.391487432,15124.79785
BC02_1,BC02,BC02-046,74,8.602325267,Deer,Adult,Books,N,Large,Deer,33,None,No,coniferous,0.785105224,-0.559525354,0.038493141,No,Summer,PrimeAdult,0.411053922,0.377195058,29805.92969
BC02_1,BC02,BC02-048,50,7.071067812,Elk,Neonate,Books,Y,Medium,Elk,18,None,Unlikely,scrub,0.122909763,0.918962726,0.038493141,No,Summer,PrimeAdult,0.434946992,0.416526887,11963.06445
BC02_1,BC02,BC02-049,48,6.92820323,Deer,Adult,Books,N,Large,Deer,1,None,No,scrub,-0.820271464,0.624193464,0.038493141,No,Fall,PrimeAdult,0.427509813,0.382491339,9509.538086
BC02_1,BC02,BC02-050,94.01666667,9.696219195,Elk,Neonate,Books,Y,Medium,Elk,1,None,Possible,other,-0.908363384,-0.022806468,0.038493141,No,Fall,PrimeAdult,0.439722354,0.244033223,24335.24609
BC02_1,BC02,BC02-051,100,10,Elk,Neonate,Books,N,Medium,Elk,12,None,No,scrub,-1.012844784,-0.519900341,0.038493141,No,Fall,PrimeAdult,0.355256916,0.271840461,20694.07813
BC02_1,BC02,BC02-053,166,12.88409873,Elk,Neonate,Books,N,Medium,Elk,52,None,No,coniferous,-0.090420589,-0.110669161,0.038493141,No,Fall,PrimeAdult,0.435223473,0.394689878,21391.63281
BC02_1,BC02,BC02-055,62,7.874007874,Deer,Unknown,Books,N,Medium,Deer,5,None,No,other,-0.037848259,0.929484698,0.038493141,No,Fall,PrimeAdult,0.447720862,0.296746529,9879.742188
BC02_1,BC02,BC02-056,38,6.164414003,Elk,Yearling,Books,N,ExtraLarge,Elk,1,None,No,scrub,-0.977579553,1.167310675,0.038493141,No,Fall,PrimeAdult,0.422584635,0.348214424,9387.677734
BC02_1,BC02,BC02-057,8,2.828427125,Deer,Neonate,Books,N,Medium,Deer,36,None,No,coniferous,0.982924388,-1.09073115,0.038493141,No,Fall,PrimeAdult,0.384539395,0.32335756,5529.331055
BC02_1,BC02,BC02-058,60,7.745966692,Elk,Neonate,Books,N,Medium,Elk,21,None,No,coniferous,-0.915910688,0.516575238,0.038493141,No,Fall,PrimeAdult,0.42280621,0.35006657,9223.878906
BC02_1,BC02,BC02-059,428,20.68816087,Deer,Adult,Books,N,Large,Deer,23,None,No,coniferous,1.280394797,-1.39137705,0.038493141,No,Fall,PrimeAdult,0.409412114,0.348711523,11664.4375
BC02_1,BC02,BC02-060,44,6.633249581,Deer,Adult,Books,N,Large,Deer,23,None,No,coniferous,-0.638637853,1.222030301,0.038493141,No,Fall,PrimeAdult,0.522286469,0.425575746,3395.521484
BC02_1,BC02,BC02-061,68,8.246211251,Deer,Neonate,Books,N,Medium,Deer,1,None,No,coniferous,-0.532674346,0.605737072,0.038493141,No,Fall,PrimeAdult,0.451407862,0.357968398,1197.0354
BC02_1,BC02,BC02-062,46,6.782329983,Deer,Unknown,Books,N,Medium,Deer,24,None,No,coniferous,-0.865936406,1.111783674,0.038493141,No,Fall,PrimeAdult,0.443310248,0.395049481,6346.417969
BC02_1,BC02,BC02-063,12,3.464101615,Elk,Adult,Books,N,ExtraLarge,Elk,18,None,No,scrub,-0.513531647,-0.051756928,0.038493141,No,Fall,PrimeAdult,0.465823803,0.335031625,19058.02148
BC02_1,BC02,BC02-064,160,12.64911064,Elk,Fawn/calf,Books,N,Large,Elk,18,None,No,coniferous,0.738808277,-0.857800209,0.038493141,No,Winter,PrimeAdult,0.365556097,0.390503983,12811.63477
BC02_1,BC02,BC02-066,124,11.13552873,Deer,Fawn/calf,Books,N,Medium,Deer,24,None,No,coniferous,-0.218405775,0.840098993,0.038493141,No,Winter,PrimeAdult,0.447078708,0.433845032,3438.530273
BC02_1,BC02,BC02-068,48,6.92820323,Deer,Fawn/calf,Books,N,Medium,Deer,25,None,No,coniferous,-0.728134485,0.960863885,0.038493141,No,Winter,PrimeAdult,0.44030959,0.420453494,10869.55469
BC02_1,BC02,BC02-069,158,12.56980509,Elk,Fawn/calf,Books,N,Large,Elk,1,None,No,scrub,-0.576919351,-0.750327493,0.038493141,No,Winter,PrimeAdult,0.343374899,0.374492233,9311.425781
BC02_1,BC02,BC02-070,44,6.633249581,Deer,Adult,Books,Y,Large,Deer,1,None,can't tell,coniferous,-0.368589355,-0.057586634,0.337969786,No,Winter,PrimeAdult,0.464384475,0.422175863,11206.25977
BC02_1,BC02,BC02-072,4,2,Deer,Fawn/calf,Books,N,Medium,Deer,27,None,No,coniferous,0.134688769,0.714932736,0.337969786,No,Winter,PrimeAdult,0.455764252,0.423837268,11658.8252
BC02_1,BC02,BC02-073,172,13.11487705,Elk,Fawn/calf,Books,N,Large,Elk,20,None,No,coniferous,2.01368917,-2.596420425,0.337969786,No,Winter,PrimeAdult,0.319524061,0.342803675,18863.85547
BC02_1,BC02,BC02-076,46,6.782329983,Mesocarnivore,Unknown,Books,N,Small,Other,16,None,No,coniferous,1.765007289,-1.807534357,0.337969786,No,Winter,PrimeAdult,0.389995922,0.397784832,6373.230957
BC02_1,BC02,BC02-077,224,14.96662955,Elk,Fawn/calf,Books,N,Large,Elk,5,None,No,scrub,0.21940741,0.279035671,0.337969786,No,Winter,PrimeAdult,0.4785632,0.447898092,13339.23145
BC02_1,BC02,BC02-078,50,7.071067812,Elk,Fawn/calf,Books,N,Large,Elk,13,None,No,scrub,-0.000128365,-0.134628768,0.337969786,No,Winter,PrimeAdult,0.436916406,0.41768977,6531.644531
BC02_1,BC02,BC02-080,38,6.164414003,Elk,Adult,Books,N,ExtraLarge,Elk,20,None,No,coniferous,0.546223655,-0.509224075,0.337969786,No,Winter,PrimeAdult,0.386008176,0.409888601,9399.269531
BC02_1,BC02,BC02-081,70,8.366600265,Elk,Fawn/calf,Books,N,Large,Elk,16,None,No,scrub,0.663939391,0.266123814,0.337969786,No,Winter,PrimeAdult,0.316622892,0.295640562,15813.2168
BC02_1,BC02,BC02-082,28,5.291502622,Elk,Adult,Books,N,ExtraLarge,Elk,10,None,No,coniferous,-1.069366149,-0.063429758,0.337969786,No,Winter,PrimeAdult,0.360290278,0.37498288,6821.150879
BC02_1,BC02,BC02-083,4,2,Elk,Yearling,Books,Y,ExtraLarge,Elk,28,None,can't tell,coniferous,0.515230732,0.719404518,0.337969786,No,Winter,PrimeAdult,0.359613748,0.394795865,5453.828125
BC02_1,BC02,BC02-084,82,9.055385138,Deer,Fawn/calf,Books,N,Medium,Deer,27,None,No,coniferous,1.286757626,-1.09565977,0.337969786,No,Winter,PrimeAdult,0.296731878,0.383803431,4935.916016
BC02_1,BC02,BC02-085,250,15.8113883,Elk,Fawn/calf,Books,N,Large,Elk,27,None,No,coniferous,1.252399205,-1.130624052,0.337969786,No,Winter,PrimeAdult,0.275708749,0.349657885,14609.55664
BC02_1,BC02,BC02-089,42,6.480740698,Mesocarnivore,Unknown,Books,N,Small,Other,1,Pregnant,No,scrub,0.006162329,-0.075156629,0.337969786,No,Spring,PrimeAdult,0.418356777,0.438843487,16343.66211
BC02_1,BC02,BC02-091-B,0,0,Elk,Adult,Books,N,ExtraLarge,Elk,21,Pregnant,No,coniferous,0.443567493,-0.541419264,0.337969786,No,Spring,PrimeAdult,0.348752678,0.331826907,32699.03711
BC02_1,BC02,BC02-091-A,20,4.472135955,Elk,Adult,Books,N,ExtraLarge,Elk,1,Pregnant,No,scrub,0.628263755,-0.401941967,0.337969786,No,Spring,PrimeAdult,0.339841666,0.32761395,25139.70703
