CougarInterval,CougarID,ClusterID_unique,PreyGroup,DurationatKill,PreyAgeClass,Site,BearSign,Comb_WeightClass,PreyCategory,CanopyPercent,DemographicStatus,BearDisplacement,CoverType,thi150,Dist2road,DensityofRoads_990,DensityofRoads_5010,BearHarvestDensity,DurationatKill.sqr,MultipleKills,Season,DeerUse_990,ElkUse_990
BC02_1,BC02,BC02-037-b,Elk,90,Neonate,Books,Y,Medium,Elk,26,None,No,coniferous,3.716610273,-0.534955991,-0.154838934,-0.186333675,0.038493141,9.486832981,Yes,Summer,0.862406807,0.596572763
BC02_1,BC02,BC02-040,Deer,66,Neonate,Books,N,Small,Deer,16,None,No,scrub,4.130487659,0.397079635,-0.763989988,0.441900641,0.038493141,8.124038405,No,Summer,-0.669311006,-1.430653726
BC02_1,BC02,BC02-041,Deer,48,Neonate,Books,N,Small,Deer,23,None,No,coniferous,3.022471191,-0.579720172,0.758887647,1.063518656,0.038493141,6.92820323,No,Summer,-0.577087904,-0.804205656
BC02_1,BC02,BC02-042,Deer,36,Neonate,Books,N,Small,Deer,40,None,No,coniferous,3.712553303,-1.445770106,1.856067763,0.703726771,0.038493141,6,No,Summer,-0.187790609,0.009073898
BC02_1,BC02,BC02-043,OtherUngulate,65,Adult,Books,N,Large,OtherUngulate,27,None,No,coniferous,3.144528942,-0.048466698,-0.763989988,-0.866343849,0.038493141,8.062257748,No,Summer,-0.016473035,0.43327641
BC02_1,BC02,BC02-044,Deer,46,Adult,Books,Y,Large,Deer,28,None,Likely.Yes,coniferous,2.940060576,0.111805093,-0.763989988,0.456496343,0.038493141,6.782329983,No,Summer,-0.394597292,-0.381680835
BC02_1,BC02,BC02-046,Deer,52,Adult,Books,N,Large,Deer,33,None,No,coniferous,3.455244044,0.785105224,-0.763989988,-0.559525354,0.038493141,7.211102551,No,Summer,-0.117863368,0.438829875
BC02_1,BC02,BC02-048,Elk,46,Neonate,Books,Y,Medium,Elk,18,None,Unlikely,scrub,4.026845935,0.122909763,-0.763989988,0.918962726,0.038493141,6.782329983,No,Summer,0.547400637,0.690219409
BC02_1,BC02,BC02-049,Deer,48,Adult,Books,N,Large,Deer,1,None,No,scrub,2.149812857,-0.820271464,1.011975258,0.624193464,0.038493141,6.92820323,No,Fall,0.010512876,0.575382612
BC02_1,BC02,BC02-050,Elk,46,Neonate,Books,Y,Medium,Elk,1,None,Possible,other,3.727709231,-0.908363384,0.904238878,-0.022806468,0.038493141,6.782329983,No,Fall,-1.382579689,1.681736937
BC02_1,BC02,BC02-051,Elk,123,Neonate,Books,N,Medium,Elk,12,None,No,scrub,4.029803871,-1.012844784,1.063463174,-0.519900341,0.038493141,11.09053651,No,Fall,-0.962062502,0.674683819
BC02_1,BC02,BC02-053,Elk,70,Neonate,Books,N,Medium,Elk,52,None,No,coniferous,4.572987926,-0.090420589,-0.763989988,-0.110669161,0.038493141,8.366600265,No,Fall,1.865335016,-0.12462061
BC02_1,BC02,BC02-055,Deer,98,Unknown,Books,N,Medium,Deer,5,None,No,other,4.116334084,-0.037848259,-0.763989988,0.929484698,0.038493141,9.899494937,No,Fall,-1.31614445,0.604090796
BC02_1,BC02,BC02-056,Elk,94,Yearling,Books,N,ExtraLarge,Elk,1,None,No,scrub,3.087251096,-0.977579553,1.595241899,1.167310675,0.038493141,9.695359715,No,Fall,0.673662498,0.544738313
BC02_1,BC02,BC02-057,Deer,106,Neonate,Books,N,Medium,Deer,36,None,No,coniferous,2.130136513,0.982924388,-0.763989988,-1.09073115,0.038493141,10.29563014,No,Fall,-0.343223244,-0.141607348
BC02_1,BC02,BC02-058,Elk,28,Neonate,Books,N,Medium,Elk,21,None,No,coniferous,2.169165301,-0.915910688,1.324074625,0.516575238,0.038493141,5.291502622,No,Fall,0.769300206,-0.547149719
BC02_1,BC02,BC02-059,Deer,108,Adult,Books,N,Large,Deer,23,None,No,coniferous,2.298524124,1.280394797,-0.763989988,-1.39137705,0.038493141,10.39230485,No,Fall,0.641577847,0.544695383
BC02_1,BC02,BC02-060,Deer,50,Adult,Books,N,Large,Deer,23,None,No,coniferous,2.339399066,-0.638637853,1.653503312,1.222030301,0.038493141,7.071067812,No,Fall,0.859030022,1.36956931
BC02_1,BC02,BC02-061,Deer,30,Neonate,Books,N,Medium,Deer,1,None,No,coniferous,1.921800688,-0.532674346,-0.763989988,0.605737072,0.038493141,5.477225575,No,Fall,0.450887162,1.002665556
BC02_1,BC02,BC02-062,Deer,72,Unknown,Books,N,Medium,Deer,24,None,No,coniferous,2.491840562,-0.865936406,1.209885026,1.111783674,0.038493141,8.485281374,No,Fall,0.940361379,0.168132962
BC02_1,BC02,BC02-063,Elk,54,Adult,Books,N,ExtraLarge,Elk,18,None,No,scrub,3.852806236,-0.513531647,0.528214535,-0.051756928,0.038493141,7.348469228,No,Fall,-0.870056905,1.125673486
BC02_1,BC02,BC02-064,Elk,64,Fawn/calf,Books,N,Large,Elk,18,None,No,coniferous,3.250040399,0.738808277,-0.763989988,-0.857800209,0.038493141,8,No,Winter,0.581545664,-0.341938278
BC02_1,BC02,BC02-066,Deer,74,Fawn/calf,Books,N,Medium,Deer,24,None,No,coniferous,2.931174221,-0.218405775,-0.763989988,0.840098993,0.038493141,8.602325267,No,Winter,0.929579324,0.584975879
BC02_1,BC02,BC02-068,Deer,86,Fawn/calf,Books,N,Medium,Deer,25,None,No,coniferous,4.361508114,-0.728134485,1.209885026,0.960863885,0.038493141,9.273618495,No,Winter,0.662765442,0.110917534
BC02_1,BC02,BC02-069,Elk,138,Fawn/calf,Books,N,Large,Elk,1,None,No,scrub,1.884528841,-0.576919351,-0.082938405,-0.750327493,0.038493141,11.74734012,No,Winter,1.133890913,0.473305019
BC02_1,BC02,BC02-070,Deer,72,Adult,Books,Y,Large,Deer,1,None,can't tell,coniferous,2.653831511,-0.368589355,0.246172756,-0.057586634,0.337969786,8.485281374,No,Winter,0.809580496,0.7398157
BC02_1,BC02,BC02-072,Deer,52,Fawn/calf,Books,N,Medium,Deer,27,None,No,coniferous,2.959664787,0.134688769,-0.763989988,0.714932736,0.337969786,7.211102551,No,Winter,1.004947504,0.372346703
BC02_1,BC02,BC02-073,Elk,198,Fawn/calf,Books,N,Large,Elk,20,None,No,coniferous,4.263848318,2.01368917,-0.763989988,-2.596420425,0.337969786,14.07124728,No,Winter,-0.245155967,-1.360175319
BC02_1,BC02,BC02-076,Mesocarnivore,36,Unknown,Books,N,Small,Other,16,None,No,coniferous,2.813408276,1.765007289,-0.763989988,-1.807534357,0.337969786,6,No,Winter,0.413423834,0.306306683
BC02_1,BC02,BC02-077,Elk,212,Fawn/calf,Books,N,Large,Elk,5,None,No,scrub,4.114967835,0.21940741,-0.763989988,0.279035671,0.337969786,14.56021978,No,Winter,0.628038097,1.875082001
BC02_1,BC02,BC02-078,Elk,128,Fawn/calf,Books,N,Large,Elk,13,None,No,scrub,3.45659236,-0.000128365,-0.763989988,-0.134628768,0.337969786,11.3137085,No,Winter,0.742986794,0.442393087
BC02_1,BC02,BC02-080,Elk,130,Adult,Books,N,ExtraLarge,Elk,20,None,No,coniferous,3.042520808,0.546223655,-0.763989988,-0.509224075,0.337969786,11.40175425,No,Winter,0.222379838,-0.714009634
BC02_1,BC02,BC02-081,Elk,26,Fawn/calf,Books,N,Large,Elk,16,None,No,scrub,3.518973184,0.663939391,-0.763989988,0.266123814,0.337969786,5.099019514,No,Winter,-1.266926831,-1.610269109
BC02_1,BC02,BC02-082,Elk,96,Adult,Books,N,ExtraLarge,Elk,10,None,No,coniferous,3.725681661,-1.069366149,1.113539656,-0.063429758,0.337969786,9.797958971,No,Winter,0.363613044,0.460673569
