ClusterBout,CougID,ClusID,StudySite,BearBeforeBout,AvianBeforeBout,AnyScavenger,MammalScavenger,NonBearMamnmalScavenger,CarcassAge,CachingTime,FeedingTime,RestingTime,VigilantTime,UnknownTime,OtherTime,SumTime,KillorShared,PreySpecies,Non.focalAdultCougarPresent,Habitat,Year,BearSeason,KitteninBout,BearHarvestDensity,CanopyCover.scale,DemographicStatus,PropVig,PropCache,PropFeed,PropRelax,DistancetoRoad,DensityofRoads_510,DensityofRoads_990,DensityofRoads_2490,thi210
CA21-043_Bout3,CA21,CA21-043,Cache,N,N,N,N,N,127.2,0,494.513,0,46.394,45.618,22.067,608.592,kill,Deer,N,mixed conifer/deciduous,2020,Y,Y,-1.26920521,1.483254571,WeanedKits,0.076231695,0,0.81255258,0,-0.353660337,-0.468364321,-0.682142472,-0.010556723,1.35658619
CA21-057_Bout1,CA21,CA21-057,Cache,N,N,N,N,N,35.5,0,35.403,0,2.897,0,0,38.3,kill,Deer,N,deciduous,2020,Y,N,-1.26920521,0.307399512,WeanedKits,0.075639687,0,0.924360313,0,-0.381853072,-0.468364321,-0.682142472,-0.415190003,-0.49677917
CA21-071_Bout1,CA21,CA21-071,Cache,N,N,N,N,N,54.3,0,27.649,0,2.129,0,0,29.778,kill,Deer,N,Sagebrush/scrub,2020,Y,Y,-1.26920521,-1.65235892,WeanedKits,0.071495735,0,0.928504265,0,-0.158321431,-0.468364321,-0.682142472,0.570574426,-0.214956378
CA21-078_Bout1,CA21,CA21-078,Cache,N,N,N,N,N,37.9,0,13.196,0,18.677,0,7.698,39.571,kill,Deer,N,deciduous,2020,Y,Y,-1.26920521,0.195413316,WeanedKits,0.471987061,0,0.333476536,0,-0.519357781,-0.468364321,-0.682142472,-0.349026392,0.488677404
CA21-078_Bout3,CA21,CA21-078,Cache,N,N,N,N,N,45.6,0,9.702,15.177,38.395,0,16.606,79.88,kill,Deer,N,deciduous,2020,Y,Y,-1.26920521,0.195413316,WeanedKits,0.480658488,0,0.121457186,0.189997496,-0.519357781,-0.468364321,-0.682142472,-0.349026392,0.488677404
CA21-078_Bout5,CA21,CA21-078,Cache,N,N,N,N,N,69.6,0,0,0,19.579,0,21.072,40.651,kill,Deer,N,deciduous,2020,Y,Y,-1.26920521,0.195413316,WeanedKits,0.481636368,0,0,0,-0.519357781,-0.468364321,-0.682142472,-0.349026392,0.488677404
CA21-078_Bout6,CA21,CA21-078,Cache,N,N,N,N,N,90.8,0,0,78.314,0,0,0,78.314,kill,Deer,N,deciduous,2020,Y,Y,-1.26920521,0.195413316,WeanedKits,0,0,0,1,-0.519357781,-0.468364321,-0.682142472,-0.349026392,0.488677404
CA21-078_Bout7,CA21,CA21-078,Cache,N,N,N,N,N,92.7,0,0,0,8.123,0,32.075,40.198,kill,Deer,N,deciduous,2020,Y,Y,-1.26920521,0.195413316,WeanedKits,0.20207473,0,0,0,-0.519357781,-0.468364321,-0.682142472,-0.349026392,0.488677404
CA22.at.CA15-043_Bout1,CA22,CA22.at.CA15-043,Cache,N,N,N,N,N,54.8,0,536.364,0,34.632,0,14.817,585.813,sharedwithmom,Elk,N,deciduous,2020,Y,N,-1.26920521,1.315275277,None,0.059117841,0,0.915589104,0,-0.504172226,-0.468364321,-0.238341788,0.483525831,-0.103556122
CA22.at.CA15-043_Bout2,CA22,CA22.at.CA15-043,Cache,N,N,N,N,N,59.3,0,46.141,0,28.522,0,0,74.663,sharedwithmom,Elk,N,deciduous,2020,Y,N,-1.26920521,1.315275277,None,0.382009831,0,0.617990169,0,-0.504172226,-0.468364321,-0.238341788,0.483525831,-0.103556122
CA22.at.CA15-043_Bout3,CA22,CA22.at.CA15-043,Cache,N,N,N,N,N,62.5,0,161.26,0,7.117,0,11.665,180.042,sharedwithmom,Elk,N,deciduous,2020,Y,N,-1.26920521,1.315275277,None,0.039529665,0,0.895679897,0,-0.504172226,-0.468364321,-0.238341788,0.483525831,-0.103556122
CA22.at.CA15-043_Bout4,CA22,CA22.at.CA15-043,Cache,N,N,N,N,N,90.7,0,37.888,0,4.073,0,18.102,60.063,sharedwithmom,Elk,N,deciduous,2020,Y,N,-1.26920521,1.315275277,None,0.067812131,0,0.630804322,0,-0.504172226,-0.468364321,-0.238341788,0.483525831,-0.103556122
EM01-049_Bout1,EM01,EM01-049,Manti,N,N,N,N,N,91.3,0,325.329,0,28.32,3.097,0,356.746,kill,Deer,N,deciduous,2019,Y,N,0.536351659,-0.700476253,Pregnant,0.079384212,0,0.911934542,0,0.086897609,-0.468364321,-0.682142472,0.558404587,0.221456684
EM01-049_Bout2,EM01,EM01-049,Manti,N,N,N,N,N,101.2,0,7.728,0,9.21,0,12.837,29.775,kill,Deer,N,deciduous,2019,Y,N,0.536351659,-0.700476253,Pregnant,0.309319899,0,0.259546599,0,0.086897609,-0.468364321,-0.682142472,0.558404587,0.221456684
EM01-049_Bout3,EM01,EM01-049,Manti,N,N,N,N,N,116.2,0,0,0,6.297,3.488,14.011,23.796,kill,Deer,N,deciduous,2019,Y,N,0.536351659,-0.700476253,Pregnant,0.264624307,0,0,0,0.086897609,-0.468364321,-0.682142472,0.558404587,0.221456684
EM01-063_Bout1,EM01,EM01-063,Manti,N,N,N,N,N,46.5,0,0,0,21.076,6.43,16.575,44.081,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,1.203289081,Pregnant,0.478119825,0,0,0,-0.878915565,-0.468364321,1.147694627,0.636057706,-1.046549861
EM01-063_Bout10,EM01,EM01-063,Manti,N,N,N,N,N,96.4,0,0,11.4,0,83.608,18.901,113.909,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,1.203289081,Pregnant,0,0,0,0.100079888,-0.878915565,-0.468364321,1.147694627,0.636057706,-1.046549861
EM01-063_Bout2,EM01,EM01-063,Manti,N,N,N,N,N,51.9,0,8.876,9.368,4.594,28.093,25.266,76.197,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,1.203289081,Pregnant,0.060291088,0,0.116487526,0.122944473,-0.878915565,-0.468364321,1.147694627,0.636057706,-1.046549861
EM01-063_Bout3,EM01,EM01-063,Manti,N,N,N,N,N,55.3,0,14.668,10.248,9.397,48.348,21.247,103.908,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,1.203289081,Pregnant,0.09043577,0,0.141163337,0.098625707,-0.878915565,-0.468364321,1.147694627,0.636057706,-1.046549861
EM01-063_Bout4,EM01,EM01-063,Manti,N,N,N,N,N,56.8,0,0,5.15,0,6.502,0,11.652,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,1.203289081,Pregnant,0,0,0,0.441984209,-0.878915565,-0.468364321,1.147694627,0.636057706,-1.046549861
EM01-063_Bout5,EM01,EM01-063,Manti,N,N,N,N,N,58.1,172.74,15.054,101.845,36.584,95.79,3.323,425.336,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,1.203289081,Pregnant,0.086012,0.40612598,0.035393195,0.239445991,-0.878915565,-0.468364321,1.147694627,0.636057706,-1.046549861
EM01-063_Bout6,EM01,EM01-063,Manti,N,N,N,N,N,68.2,0,0,0,11.323,19.183,12.275,42.781,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,1.203289081,Pregnant,0.26467357,0,0,0,-0.878915565,-0.468364321,1.147694627,0.636057706,-1.046549861
EM01-063_Bout7,EM01,EM01-063,Manti,N,N,N,N,N,74.8,0,0,22.16,14.32,126.378,10.63,173.488,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,1.203289081,Pregnant,0.082541732,0,0,0.127732177,-0.878915565,-0.468364321,1.147694627,0.636057706,-1.046549861
EM01-068_Bout1,EM01,EM01-068,Manti,N,Y,Y,N,N,139.4,4.947,272.894,0,58.938,0,6.694,343.473,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,-0.364517665,Nursing,0.171594274,0.014402879,0.794513688,0,-1.232912831,1.400206578,1.200744369,0.653512687,0.273748191
EM01-070_Bout1,EM01,EM01-070,Manti,N,N,Y,Y,Y,46.6,1.321,0,0,7.294,0,2.069,10.684,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,0.699351198,Nursing,0.682703107,0.12364283,0,0,-1.068037514,1.094994257,1.687104846,1.55972709,-1.538889478
EM01-070_Bout2,EM01,EM01-070,Manti,N,N,Y,Y,Y,53.3,13.313,0,0,0,0,0,13.313,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,0.699351198,Nursing,0,1,0,0,-1.068037514,1.094994257,1.687104846,1.55972709,-1.538889478
EM01-070_Bout3,EM01,EM01-070,Manti,N,N,Y,Y,Y,56.1,323.26,0,30.349,174.192,5.525,0,533.326,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,0.699351198,Nursing,0.326614491,0.606120834,0,0.056905157,-1.068037514,1.094994257,1.687104846,1.55972709,-1.538889478
EM01-070_Bout4,EM01,EM01-070,Manti,N,N,Y,Y,Y,60.3,0,0,197.494,12.352,0,0,209.846,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,0.699351198,Nursing,0.058862213,0,0,0.941137787,-1.068037514,1.094994257,1.687104846,1.55972709,-1.538889478
EM01-070_Bout5,EM01,EM01-070,Manti,N,N,Y,Y,Y,61.7,66.666,0,0,56.611,15.402,0,138.679,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,0.699351198,Nursing,0.408216096,0.480721667,0,0,-1.068037514,1.094994257,1.687104846,1.55972709,-1.538889478
